"spkid","full_name","pdes","name","diameter","rot_per","spec_B","spec_T","orbit_id","epoch","e","a","q","i","om","w","per"
2010302," 10302 (1989 ML)",10302,,,19.164,X,,"JPL 110",2459600.5,0.1364,1.272,1.099,4.38,104.34,183.36,524
2054509," 54509 YORP (2000 PH5)",54509,YORP,,0.2029,,,"JPL 87",2459600.5,0.2300,1.006,0.775,1.60,278.22,278.94,369
2099942," 99942 Apophis (2004 MN4)",99942,Apophis,0.34,30.4,Sq,,"JPL 216",2459600.5,0.1914,0.9227,0.746,3.34,203.96,126.60,324
2138911,"138911 (2001 AE2)",138911,,,15.88,T,,"JPL 146",2459600.5,0.0815,1.35,1.240,1.66,171.44,43.12,573
2141018,"141018 (2001 WC47)",141018,,,16.51,,,"JPL 238",2459600.5,0.2414,1.399,1.061,2.87,91.62,101.37,604
2163000,"163000 (2001 SW169)",163000,,,69.97,,,"JPL 225",2459600.5,0.0514,1.248,1.184,3.55,8.42,284.78,509
2209215,"209215 (2003 WP25)",209215,,,,,,"JPL 25",2459600.5,0.1211,0.989,0.869,2.56,40.76,226.43,359
2225312,"225312 (1996 XB27)",225312,,,1.195,,,77,2459600.5,0.0579,1.189,1.120,2.46,179.40,58.09,474
2251732,"251732 (1998 HG49)",251732,,,,,,44,2459600.5,0.1125,1.201,1.066,4.20,44.81,324.32,480
2253062,"253062 (2002 TC70)",253062,,,26.273,,,66,2459600.5,0.1965,1.369,1.100,2.15,134.75,162.13,585
2307564,"307564 (2003 FQ6)",307564,,,,,,"JPL 46",2459600.5,0.1315,1.371,1.191,3.62,86.59,233.54,586
2350523,"350523 (2000 EA14)",350523,,,,,,59,2459600.5,0.2025,1.117,0.891,3.56,203.83,206.04,431
2363305,"363305 (2002 NV16)",363305,,,0.9067,,,96,2459600.5,0.2198,1.237,0.965,3.50,183.31,179.23,503
2382875,"382875 (2004 KE1)",382875,,,,,,41,2459600.5,0.1807,1.299,1.064,2.88,42.76,283.70,541
2441304,"441304 (2008 AU26)",441304,,,,,,39,2459600.5,0.1025,1.395,1.252,2.66,299.51,128.66,602
2450237,"450237 (2002 XY38)",450237,,0.096,,,,34,2459600.5,0.2176,0.9113,0.713,2.12,158.80,119.94,318
2455415,"455415 (2003 GA)",455415,,,5.78,,,84,2459600.5,0.1912,1.282,1.037,3.84,192.89,66.82,530
2471984,"471984 (2013 UE3)",471984,,,,,,34,2459600.5,0.2257,1.026,0.795,3.36,49.70,117.45,380
2478784,"478784 (2012 UV136)",478784,,,,,,48,2459600.5,0.1397,1.007,0.867,2.10,207.90,289.93,369
2495021,"495021 (2010 SH15)",495021,,,,,,24,2459600.5,0.0331,1.271,1.229,4.05,0.90,96.51,524
2499998,"499998 (2011 PT)",499998,,,,,,54,2459600.5,0.2164,1.315,1.031,2.22,70.56,299.56,551
2500136,"500136 (2012 CO46)",500136,,,,,,41,2459600.5,0.1970,1.321,1.061,3.63,349.62,64.37,554
2591179,"591179 (2013 EU9)",591179,,,,,,54,2459600.5,0.1932,1.36,1.098,3.87,233.29,340.63,580
